SigA	SigB
P-0004954-T01-IM5	0.287462417439022	0.712537582560978
P-0004011-T01-IM5	0.0250178782578569	0.974982121742143
P-0005455-T01-IM5	0.194563498836468	0.805436501163532
P-0000561-T01-IM3	0.213318618329494	0.786681381670506
P-0010929-T01-IM5	0.270503460900734	0.729496539099266
P-0001237-T01-IM3	0.199259579341039	0.800740420658961
P-0008746-T01-IM5	0.425496968871241	0.574503031128759
P-0010308-T01-IM5	0.438871545470172	0.561128454529828
P-0007739-T01-IM5	0.351750562567599	0.648249437432401
P-0005230-T01-IM5	0.153632779793463	0.846367220206537
P-0002463-T02-IM5	0.482558537555888	0.517441462444112
P-0007836-T01-IM5	0.0658965666845896	0.93410343331541
P-0002049-T01-IM3	0.158258559581032	0.841741440418968
P-0003796-T01-IM5	0.503094908639317	0.496905091360683
P-0010581-T01-IM5	0.250063244410386	0.749936755589614
P-0002671-T01-IM3	0.386773692408854	0.613226307591146
P-0001494-T01-IM3	0.184334257145351	0.815665742854649
P-0001685-T01-IM3	0.175426451079811	0.824573548920189
P-0003209-T01-IM5	0.0443207760076045	0.955679223992395
P-0001685-T02-IM3	0.179826069057033	0.820173930942967
P-0001649-T01-IM3	0.34091036515832	0.65908963484168
P-0002463-T01-IM3	0.588817317064244	0.411182682935756
P-0000862-T01-IM3	0.328346231153862	0.671653768846138
P-0004083-T01-IM5	0.401986201854758	0.598013798145242
P-0004362-T01-IM5	0.179652745639876	0.820347254360124
P-0001913-T01-IM3	0.398934674386054	0.601065325613946
P-0001020-T01-IM3	0.387993731281556	0.612006268718444
P-0002455-T01-IM3	0.388694172489328	0.611305827510672
P-0004602-T01-IM5	0.0780722682805534	0.921927731719447
P-0004051-T01-IM5	0.267135541867725	0.732864458132275
P-0006207-T01-IM5	0.37162057540954	0.62837942459046
P-0007882-T01-IM5	0.200160197479273	0.799839802520727
P-0005529-T01-IM5	0.247328829144078	0.752671170855922
P-0009157-T01-IM5	0.354764899931499	0.645235100068501
P-0007147-T01-IM5	0.366937649058438	0.633062350941562
P-0008721-T01-IM5	0.347931594774442	0.652068405225558
P-0007688-T01-IM5	0.273029868296774	0.726970131703226
P-0008317-T01-IM5	0.0876848570190505	0.91231514298095
P-0004754-T01-IM5	0.121180880798047	0.878819119201953
P-0006753-T01-IM5	0.438842470564724	0.561157529435276
P-0007997-T01-IM5	0.410444213167888	0.589555786832112
P-0007843-T01-IM5	0.315202404654158	0.684797595345842
P-0005987-T01-IM5	0.690880408954031	0.309119591045969
P-0007055-T01-IM5	0.359867908769183	0.640132091230817
P-0005151-T01-IM5	0.459024022971198	0.540975977028802
P-0006863-T01-IM5	0.093645988552169	0.906354011447831
P-0006365-T01-IM5	0.309498958422233	0.690501041577767
P-0005560-T01-IM5	0.225884488996639	0.774115511003361
P-0004783-T01-IM5	0.170773573893986	0.829226426106014
P-0007831-T01-IM5	0.344077644558561	0.655922355441439
P-0007296-T01-IM5	0.234104110480387	0.765895889519613
P-0009964-T01-IM5	0.484379267933973	0.515620732066027
P-0005443-T01-IM5	0.124481961480155	0.875518038519845
P-0005197-T01-IM5	0.0385347391249291	0.961465260875071
P-0005823-T01-IM5	0.148235999779736	0.851764000220264
P-0008180-T01-IM5	0.26732213620543	0.73267786379457
P-0009830-T01-IM5	0.5532527278061	0.4467472721939
P-0006960-T01-IM5	0.197280011834745	0.802719988165255
P-0005548-T01-IM5	0.0516438079581268	0.948356192041873
P-0004738-T01-IM5	0.468787787768966	0.531212212231034
P-0007596-T01-IM5	0.0662138686764767	0.933786131323523
P-0005326-T01-IM5	0.351486576991622	0.648513423008379
P-0008729-T01-IM5	0.339293240680852	0.660706759319148
P-0008745-T01-IM5	0.0732846819922497	0.92671531800775
P-0006170-T01-IM5	0.374449261471541	0.625550738528459
P-0011446-T01-IM5	0.285067932222784	0.714932067777216
P-0010275-T01-IM5	0.140605621898089	0.859394378101911
P-0013735-T01-IM5	0.185277974452192	0.814722025547808
P-0013787-T01-IM5	0.0845260576402718	0.915473942359728
P-0012313-T01-IM5	0.265574813966545	0.734425186033455
P-0010798-T01-IM5	0.335507793739576	0.664492206260423
P-0010504-T01-IM5	0.147075276918233	0.852924723081767
P-0011071-T01-IM5	0.374642438066474	0.625357561933526
P-0013876-T01-IM5	0.361788207968632	0.638211792031368
P-0012115-T01-IM5	0.25519571279878	0.74480428720122
P-0011324-T01-IM5	0.0273589329477162	0.972641067052284
P-0011226-T01-IM5	0.0722989599346934	0.927701040065307
P-0012249-T01-IM5	0.209643826550169	0.790356173449831
P-0013227-T01-IM5	0.649525280438369	0.350474719561631
P-0008226-T02-IM5	0.242640259028532	0.757359740971468
P-0014258-T01-IM6	0.495522800816104	0.504477199183896
P-0013082-T01-IM5	0.0537324473467713	0.946267552653229
P-0013374-T01-IM5	0.140970248201401	0.859029751798599
P-0013981-T01-IM5	0.189736560423613	0.810263439576387
P-0010783-T01-IM5	0.226795865693608	0.773204134306392
P-0010167-T01-IM5	0.375670219523168	0.624329780476832
P-0013492-T01-IM5	0.239806043325243	0.760193956674757
P-0009403-T02-IM5	0.170695331534207	0.829304668465793
P-0013357-T01-IM5	0.288885003786598	0.711114996213402
P-0011239-T02-IM5	0.300257280398022	0.699742719601978
P-0009964-T02-IM5	0.486406237476785	0.513593762523215
P-0011068-T01-IM5	0.251560530439023	0.748439469560977
P-0013462-T01-IM5	0.669684992858406	0.330315007141594
P-0013400-T01-IM5	0.0501196439303939	0.949880356069606
P-0010587-T01-IM5	0.108537690595645	0.891462309404355
P-0014143-T01-IM5	0.378027921897551	0.621972078102449
P-0011235-T01-IM5	0.169518426294047	0.830481573705953
P-0013010-T01-IM5	0.16113186531588	0.83886813468412
P-0013169-T01-IM5	0.300305533868254	0.699694466131746
